"tid";"tm_city";"tm_abbrev";"tm_nick";"tm_name";"conference";"division"
"1";"New England";"NE";"The Patsies";"Patriots";"AFC";"East"
"2";"Miami";"MIA";;"Dolphins";"AFC";"East"
"3";"Buffalo";"BUF";"Bickering Bills";"Bills";"AFC";"East"
"4";"N.Y. Jets";"NYJ";;"Jets";"AFC";"East"
"5";"Cincinnati";"CIN";;"Bengals";"AFC";"North"
"6";"Pittsburgh";"PIT";"Blitzburgh";"Steelers";"AFC";"North"
"7";"Baltimore";"BAL";;"Ravens";"AFC";"North"
"8";"Cleveland";"CLE";"Brownies";"Browns";"AFC";"North"
"9";"Indianapolis";"IND";;"Colts";"AFC";"South"
"10";"Jacksonville";"JAC";;"Jaguars";"AFC";"South"
"11";"Tennessee";"TEN";;"Titans";"AFC";"South"
"12";"Houston";"HOU";;"Texans";"AFC";"South"
"13";"Denver";"DEN";;"Broncos";"AFC";"West"
"14";"Kansas City";"KAN";;"Chiefs";"AFC";"West"
"15";"San Diego";"SAN";;"Chargers";"AFC";"West"
"16";"Oakland";"OAK";;"Raiders";"AFC";"West"
"17";"N.Y. Giants";"NYG";;"Giants";"NFC";"East"
"18";"Washington";"WAS";;"Redskins";"NFC";"East"
"19";"Dallas";"DAL";"America's Team";"Cowboys";"NFC";"East"
"20";"Philadelphia";"PHI";;"Eagles";"NFC";"East"
"21";"Chicago";"CHI";"Monsters of the Midway";"Bears";"NFC";"North"
"22";"Minnesota";"MIN";;"Vikings";"NFC";"North"
"23";"Detroit";"DET";;"Lions";"NFC";"North"
"24";"Green Bay";"GB";"The Pack";"Packers";"NFC";"North"
"25";"Tampa Bay";"TB";"Bucks";"Bucaneers";"NFC";"South"
"26";"Carolina";"CAR";;"Panthers";"NFC";"South"
"27";"Atlanta";"ATL";"Dirty Birds";"Falcons";"NFC";"South"
"28";"New Orleans";"NO";"Ain'ts";"Saints";"NFC";"South"
"29";"Seattle";"SEA";"Hawks";"Seahawks";"NFC";"West"
"30";"St. Louis";"STL";"Lams";"Rams";"NFC";"West"
"31";"Arizona";"ARI";;"Cardinals";"NFC";"West"
"32";"San Francisco";"SF";"Niners";"49ners";"NFC";"West"
