"wid";"wk_name";"wk_abbrev";"wk_firstgame";"wk_points";"playoffs"
"1";"Week 1";"WK1";"2008-09-04 19:00:00";"1";"0"
"2";"Week 2";"WK2";"2008-09-14 13:00:00";"1";"0"
"3";"Week 3";"WK3";"2008-09-21 13:00:00";"1";"0"
"4";"Week 4";"WK4";"2008-09-28 13:00:00";"1";"0"
"5";"Week 5";"WK5";"2008-10-05 13:00:00";"1";"0"
"6";"Week 6";"WK6";"2008-10-12 13:00:00";"1";"0"
"7";"Week 7";"WK7";"2008-10-19 13:00:00";"1";"0"
"8";"Week 8";"WK8";"2008-10-26 13:00:00";"1";"0"
"9";"Week 9";"WK9";"2008-11-02 13:00:00";"1";"0"
"10";"Week 10";"WK10";"2008-11-06 20:15:00";"1";"0"
"11";"Week 11";"WK11";"2008-11-13 20:15:00";"1";"0"
"12";"Week 12";"WK12";"2008-11-20 20:15:00";"1";"0"
"13";"Week 13";"WK13";"2008-11-27 12:30:00";"1";"0"
"14";"Week 14";"WK14";"2008-12-04 20:15:00";"1";"0"
"15";"Week 15";"WK15";"2008-12-11 20:15:00";"1";"0"
"16";"Week 16";"WK16";"2008-12-18 20:15:00";"1";"0"
"17";"Week 17";"WK17";"2008-12-28 13:00:00";"1";"0"
"18";"Wild Card Weekend";"PS1";"0000-00-00 00:00:00";"2";"1"
"19";"Divisional Playoffs";"PS2";"0000-00-00 00:00:00";"2";"1"
"20";"Conference Playoffs";"PS3";"0000-00-00 00:00:00";"4";"1"
"21";"Super Bowl";"PS4";"0000-00-00 00:00:00";"6";"1"
